County,Lat,Long
Alachua ,29.676436,-82.379953
Baker ,30.287517,-82.236268
Bay ,30.21917,-85.638788
Bradford ,29.928876,-82.142368
Bevard,28.0833333,-80.6083333
Broward ,26.134788,-80.206098
Calhoun,30.428611,-85.186786
Charlotte ,26.952873,-82.131242
Citrus ,28.894637,-82.469163
Clay ,30.000401,-81.823736
Collier ,26.155113,-81.671313
Columbia ,30.1839,-82.638781
DeSoto ,27.201006,-81.871967
Dixie ,29.607261,-83.119978
Duval ,30.320873,-81.638873
Escambia ,30.502045,-87.277355
Franklin ,29.842944,-84.789354
Gadsden ,30.603309,-84.618328
Gilchrist ,29.709927,-82.832899
Glades ,26.891982,-81.168365
Gulf ,29.940016,-85.267756
Hamilton ,30.491893,-82.948765
Hardee ,27.538231,-81.809106
Hendry ,26.696403,-81.191622
Hernando ,28.521291,-82.481399
Highlands,27.439711,-81.428524
Hillsborough ,27.966349,-82.412079
Holmes ,30.853637,-85.785748
Indian River ,27.695124,-80.454056
Jackson ,30.769903,-85.241124
Jefferson ,30.510187,-83.884229
Lafayette ,30.00143,-83.183264
Lake,28.795924,-81.747696
Lee ,26.602541,-81.846262
Leon ,30.462933,-84.260888
Levy ,29.330144,-82.70781
Liberty ,30.285745,-84.883242
Madison ,30.443902,-83.4258
Manatee ,27.487817,-82.549069
Marion ,29.142855,-82.114602
Martin ,27.132403,-80.255862
Miami-Dade,25.756427,-80.302264
Monroe ,24.777558,-81.228495
Nassau ,30.623401,-81.704762
Okaloosa ,30.642029,-86.562467
Okeechobee ,27.32525,-80.870875
Orange ,28.547129,-81.404159
Osceola ,28.231941,-81.31971
Palm Beach ,26.637745,-80.176395
Pasco ,28.276153,-82.496887
Pinellas ,27.889647,-82.727766
Polk ,27.992436,-81.758303
Putnam ,29.597982,-81.758508
St. Johns ,29.881862,-81.358139
St. Lucie ,27.348246,-80.360875
Santa Rosa ,30.614138,-87.021807
Sarasota ,27.16493,-82.398881
Seminole ,28.709909,-81.310831
Sumter ,28.770086,-82.075542
Suwannee ,30.191684,-82.985391
Taylor ,30.053738,-83.585228
Union ,30.02805,-82.367222
Volusia ,29.049037,-81.138947
Wakulla ,30.14462,-84.366174
Walton ,30.637995,-86.155962
Washington ,30.630591,-85.638396